Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2022-04-25T11:39:36.978;704201974831254116;-777;436;-499
2022-04-25T11:39:36.997;704201974850594517;-778;437;-498
2022-04-25T11:39:37.016;704201974869934918;-775;441;-495
2022-04-25T11:39:37.036;704201974889275319;-766;437;-502
2022-04-25T11:39:37.055;704201974908615720;-769;432;-501
2022-04-25T11:39:37.074;704201974927956121;-774;432;-498
2022-04-25T11:39:37.094;704201974947296522;-774;432;-495
2022-04-25T11:39:37.113;704201974966636923;-779;438;-498
2022-04-25T11:39:37.132;704201974985977324;-769;439;-503
2022-04-25T11:39:37.152;704201975005317725;-767;430;-494
2022-04-25T11:39:37.171;704201975024658126;-776;436;-491
2022-04-25T11:39:37.190;704201975043998527;-777;441;-488
2022-04-25T11:39:37.210;704201975063338928;-777;440;-493
2022-04-25T11:39:37.229;704201975082679329;-776;431;-487
2022-04-25T11:39:37.248;704201975102019730;-766;438;-492
2022-04-25T11:39:37.268;704201975121360131;-761;447;-495
2022-04-25T11:39:37.287;704201975140700532;-762;453;-497
2022-04-25T11:39:37.306;704201975160040933;-778;441;-494
2022-04-25T11:39:37.326;704201975179381334;-779;439;-490
2022-04-25T11:39:37.345;704201975198721735;-763;439;-489
2022-04-25T11:39:37.364;704201975218062136;-757;439;-494
2022-04-25T11:39:37.384;704201975237402537;-764;447;-506
2022-04-25T11:39:37.403;704201975256742938;-763;455;-501
2022-04-25T11:39:37.422;704201975276083339;-762;442;-500
2022-04-25T11:39:37.442;704201975295423740;-763;437;-501
2022-04-25T11:39:37.461;704201975314764141;-756;438;-497
2022-04-25T11:39:37.480;704201975334104542;-765;436;-499
2022-04-25T11:39:37.500;704201975353444943;-760;440;-506
2022-04-25T11:39:37.519;704201975372785344;-753;447;-501
2022-04-25T11:39:37.538;704201975392125745;-751;447;-502
2022-04-25T11:39:37.558;704201975411466146;-757;456;-499
2022-04-25T11:39:37.577;704201975430806547;-753;452;-500
2022-04-25T11:39:37.596;704201975450146948;-745;450;-502
2022-04-25T11:39:37.616;704201975469487349;-754;455;-494
2022-04-25T11:39:37.635;704201975488827750;-761;437;-484
2022-04-25T11:39:37.654;704201975508168151;-741;430;-480
2022-04-25T11:39:37.674;704201975527508552;-740;427;-480
2022-04-25T11:39:37.693;704201975546848953;-767;443;-464
2022-04-25T11:39:37.712;704201975566189354;-771;421;-462
2022-04-25T11:39:37.732;704201975585529755;-798;429;-457
2022-04-25T11:39:37.751;704201975604870156;-822;424;-446
2022-04-25T11:39:37.770;704201975624210557;-836;417;-438
2022-04-25T11:39:37.790;704201975643550958;-822;405;-449
2022-04-25T11:39:37.809;704201975662891359;-813;404;-451
2022-04-25T11:39:37.828;704201975682231760;-813;401;-456
2022-04-25T11:39:37.848;704201975701572161;-824;412;-446
2022-04-25T11:39:37.867;704201975720912562;-840;416;-444
2022-04-25T11:39:37.886;704201975740252963;-840;414;-442
2022-04-25T11:39:37.906;704201975759593364;-841;411;-442
2022-04-25T11:39:37.925;704201975778933765;-825;412;-443
2022-04-25T11:39:37.945;704201975798274166;-820;418;-433
2022-04-25T11:39:37.964;704201975817614567;-827;419;-426
2022-04-25T11:39:37.983;704201975836954968;-821;412;-422
2022-04-25T11:39:38.003;704201975856295369;-828;415;-417
2022-04-25T11:39:38.022;704201975875635770;-832;426;-410
2022-04-25T11:39:38.041;704201975894976171;-828;433;-400
2022-04-25T11:39:38.061;704201975914316572;-827;427;-399
2022-04-25T11:39:38.080;704201975933656973;-825;414;-405
2022-04-25T11:39:38.099;704201975952997374;-824;411;-413
2022-04-25T11:39:38.119;704201975972337775;-821;416;-414
2022-04-25T11:39:38.138;704201975991678176;-823;411;-419
2022-04-25T11:39:38.157;704201976011018577;-822;412;-432
2022-04-25T11:39:38.177;704201976030358978;-820;413;-439
2022-04-25T11:39:38.196;704201976049699379;-829;412;-444
2022-04-25T11:39:38.215;704201976069039780;-827;416;-444
2022-04-25T11:39:38.235;704201976088380181;-827;416;-445
2022-04-25T11:39:38.254;704201976107720582;-828;409;-442
2022-04-25T11:39:38.273;704201976127060983;-829;409;-438
2022-04-25T11:39:38.293;704201976146401384;-819;403;-440
2022-04-25T11:39:38.312;704201976165741785;-819;403;-444
2022-04-25T11:39:38.331;704201976185082186;-830;416;-444
2022-04-25T11:39:38.351;704201976204422595;-824;419;-442
2022-04-25T11:39:38.370;704201976223762996;-813;421;-439
2022-04-25T11:39:38.389;704201976243103397;-810;422;-440
2022-04-25T11:39:38.409;704201976262443798;-817;429;-444
2022-04-25T11:39:38.428;704201976281784199;-817;431;-441
2022-04-25T11:39:38.447;704201976301124600;-799;425;-449
2022-04-25T11:39:38.467;704201976320465001;-782;431;-448
2022-04-25T11:39:38.486;704201976339805402;-788;426;-463
2022-04-25T11:39:38.505;704201976359145803;-793;430;-461
2022-04-25T11:39:38.525;704201976378486204;-799;428;-460
2022-04-25T11:39:38.544;704201976397826605;-792;429;-472
2022-04-25T11:39:38.563;704201976417167006;-789;432;-468
2022-04-25T11:39:38.583;704201976436507407;-788;429;-469
2022-04-25T11:39:38.602;704201976455847808;-799;425;-470
2022-04-25T11:39:38.621;704201976475188209;-794;427;-468
2022-04-25T11:39:38.641;704201976494528610;-794;436;-464
2022-04-25T11:39:38.660;704201976513869011;-786;429;-470
2022-04-25T11:39:38.679;704201976533209412;-775;429;-486
2022-04-25T11:39:38.699;704201976552549813;-774;430;-487
2022-04-25T11:39:38.718;704201976571890214;-787;438;-495
2022-04-25T11:39:38.737;704201976591230615;-789;451;-490
2022-04-25T11:39:38.757;704201976610571016;-792;458;-488
2022-04-25T11:39:38.776;704201976629911417;-788;458;-486
2022-04-25T11:39:38.795;704201976649251818;-781;457;-481
2022-04-25T11:39:38.815;704201976668592219;-761;450;-477
2022-04-25T11:39:38.834;704201976687932620;-755;441;-478
2022-04-25T11:39:38.854;704201976707273021;-760;437;-486
2022-04-25T11:39:38.873;704201976726613422;-762;438;-487
2022-04-25T11:39:38.892;704201976745953823;-756;433;-492
2022-04-25T11:39:38.912;704201976765294224;-743;436;-496
2022-04-25T11:39:38.931;704201976784634625;-742;449;-503
2022-04-25T11:39:38.950;704201976803975026;-746;457;-501
2022-04-25T11:39:38.970;704201976823315427;-758;455;-500
2022-04-25T11:39:38.989;704201976842655828;-759;456;-499
2022-04-25T11:39:39.008;704201976861996229;-752;456;-502
2022-04-25T11:39:39.028;704201976881336630;-745;449;-501
2022-04-25T11:39:39.047;704201976900677031;-752;446;-498
2022-04-25T11:39:39.066;704201976920017432;-757;447;-503
2022-04-25T11:39:39.086;704201976939357833;-755;447;-505
2022-04-25T11:39:39.105;704201976958698234;-762;446;-510
2022-04-25T11:39:39.124;704201976978038635;-757;452;-513
2022-04-25T11:39:39.144;704201976997379036;-746;460;-517
2022-04-25T11:39:39.163;704201977016719437;-741;462;-513
2022-04-25T11:39:39.182;704201977036059838;-747;461;-512
2022-04-25T11:39:39.202;704201977055400239;-748;452;-509
2022-04-25T11:39:39.221;704201977074740640;-754;457;-503
2022-04-25T11:39:39.240;704201977094081041;-751;453;-506
2022-04-25T11:39:39.260;704201977113421442;-751;449;-503
2022-04-25T11:39:39.279;704201977132761843;-749;453;-504
2022-04-25T11:39:39.298;704201977152102244;-756;450;-503
2022-04-25T11:39:39.318;704201977171442645;-754;451;-505
2022-04-25T11:39:39.337;704201977190783046;-756;455;-507
2022-04-25T11:39:39.356;704201977210123447;-756;449;-509
2022-04-25T11:39:39.376;704201977229463848;-756;451;-508
2022-04-25T11:39:39.395;704201977248804249;-755;455;-504
