Phone timestamp;sensor timestamp [ns];X [dps];Y [dps];Z [dps]
2022-04-25T11:39:37.357;704201974831222483;0.35;0.14;1.19
2022-04-25T11:39:37.376;704201974850563052;0.0;0.42000002;2.1
2022-04-25T11:39:37.395;704201974869903621;-0.28;0.56;2.59
2022-04-25T11:39:37.415;704201974889244190;-0.7;1.26;2.52
2022-04-25T11:39:37.434;704201974908584759;-1.19;1.82;1.89
2022-04-25T11:39:37.453;704201974927925328;-0.98;0.35;1.12
2022-04-25T11:39:37.473;704201974947265897;-0.63;-0.98;0.91
2022-04-25T11:39:37.492;704201974966606466;-0.56;0.56;0.84000003
2022-04-25T11:39:37.511;704201974985947035;-0.98;1.75;0.77
2022-04-25T11:39:37.531;704201975005287604;-2.03;1.96;0.56
2022-04-25T11:39:37.550;704201975024628173;-3.01;2.03;0.0
2022-04-25T11:39:37.569;704201975043968742;-2.66;0.77;0.63
2022-04-25T11:39:37.589;704201975063309311;-2.1;0.49;1.89
2022-04-25T11:39:37.608;704201975082649880;-1.96;0.49;2.24
2022-04-25T11:39:37.627;704201975101990449;-2.38;0.49;2.17
2022-04-25T11:39:37.647;704201975121331018;-3.01;1.54;1.82
2022-04-25T11:39:37.666;704201975140671587;-2.8700001;1.54;1.54
2022-04-25T11:39:37.685;704201975160012156;-2.59;0.91;1.54
2022-04-25T11:39:37.705;704201975179352725;-1.61;0.7;1.96
2022-04-25T11:39:37.724;704201975198693294;-0.49;0.91;3.5
2022-04-25T11:39:37.743;704201975218033863;0.35;2.8700001;3.43
2022-04-25T11:39:37.763;704201975237374432;0.42000002;1.26;2.59
2022-04-25T11:39:37.782;704201975256715001;-0.21000001;-0.28;2.17
2022-04-25T11:39:37.801;704201975276055570;-0.84000003;0.0;2.31
2022-04-25T11:39:37.821;704201975295396139;-0.98;0.98;2.8
2022-04-25T11:39:37.840;704201975314736708;-1.12;0.98;3.08
2022-04-25T11:39:37.859;704201975334077277;-0.84000003;-0.07;2.66
2022-04-25T11:39:37.879;704201975353417846;-0.07;-1.33;1.96
2022-04-25T11:39:37.898;704201975372758415;0.21000001;-1.33;1.89
2022-04-25T11:39:37.917;704201975392098984;-0.42000002;-1.12;1.6800001
2022-04-25T11:39:37.937;704201975411439553;-0.49;-2.03;0.84000003
2022-04-25T11:39:37.956;704201975430780122;-0.42000002;-3.08;-0.14
2022-04-25T11:39:37.975;704201975450120691;-0.14;-2.8;-0.63
2022-04-25T11:39:37.995;704201975469461260;0.7;-5.6;-1.19
2022-04-25T11:39:38.014;704201975488801829;3.29;-12.04;-2.73
2022-04-25T11:39:38.033;704201975508142398;6.16;-17.36;-5.18
2022-04-25T11:39:38.053;704201975527482967;8.82;-18.97;-7.07
2022-04-25T11:39:38.072;704201975546823536;11.2;-23.45;-7.35
2022-04-25T11:39:38.091;704201975566164105;13.09;-34.02;-6.51
2022-04-25T11:39:38.111;704201975585504674;11.4800005;-32.76;-5.81
2022-04-25T11:39:38.130;704201975604845243;9.66;-32.2;-5.32
2022-04-25T11:39:38.149;704201975624185812;8.54;-30.66;-3.43
2022-04-25T11:39:38.169;704201975643526381;8.05;-26.25;-1.75
2022-04-25T11:39:38.188;704201975662866950;7.14;-20.65;0.0
2022-04-25T11:39:38.207;704201975682207519;5.11;-20.51;1.4
2022-04-25T11:39:38.227;704201975701548088;2.45;-22.05;1.82
2022-04-25T11:39:38.246;704201975720888657;0.7;-20.3;2.03
2022-04-25T11:39:38.266;704201975740229226;0.07;-16.24;2.24
2022-04-25T11:39:38.285;704201975759569795;-0.07;-11.2;2.17
2022-04-25T11:39:38.304;704201975778910364;-1.26;-7.28;2.31
2022-04-25T11:39:38.324;704201975798250933;-2.94;-4.9;2.17
2022-04-25T11:39:38.343;704201975817591502;-2.94;-3.64;1.33
2022-04-25T11:39:38.362;704201975836932071;-1.82;-4.06;0.56
2022-04-25T11:39:38.382;704201975856272640;-0.49;-4.27;0.56
2022-04-25T11:39:38.401;704201975875613209;0.28;-4.55;1.33
2022-04-25T11:39:38.420;704201975894953778;-0.28;-4.62;1.4
2022-04-25T11:39:38.440;704201975914294347;-0.7;-2.8;0.56
2022-04-25T11:39:38.459;704201975933634916;0.35;0.14;-0.63
2022-04-25T11:39:38.478;704201975952975485;1.05;2.17;-0.63
2022-04-25T11:39:38.498;704201975972316054;1.19;3.57;-0.14
2022-04-25T11:39:38.517;704201975991656623;1.6800001;5.18;-0.63
2022-04-25T11:39:38.536;704201976010997192;2.24;5.39;-1.26
2022-04-25T11:39:38.556;704201976030337761;1.89;4.97;-0.35
2022-04-25T11:39:38.575;704201976049678330;1.05;4.69;0.35
2022-04-25T11:39:38.594;704201976069018899;0.07;3.92;1.33
2022-04-25T11:39:38.614;704201976088359468;-0.49;3.64;2.38
2022-04-25T11:39:38.633;704201976107700037;-0.56;4.97;2.59
2022-04-25T11:39:38.652;704201976127040606;-0.35;5.53;2.59
2022-04-25T11:39:38.672;704201976146381175;-0.28;5.32;2.8700001
2022-04-25T11:39:38.691;704201976165721744;-0.56;6.58;3.22
2022-04-25T11:39:38.710;704201976185062313;-0.7;7.7;3.57
2022-04-25T11:39:38.730;704201976204402882;-1.33;7.42;3.99
2022-04-25T11:39:38.749;704201976223743451;-1.82;7.77;4.34
2022-04-25T11:39:38.768;704201976243084020;-0.7;7.77;4.76
2022-04-25T11:39:38.788;704201976262424589;0.84000003;5.81;6.58
2022-04-25T11:39:38.807;704201976281765158;1.26;4.83;8.4
2022-04-25T11:39:38.826;704201976301105727;0.63;6.3;8.68
2022-04-25T11:39:38.846;704201976320446296;0.07;6.37;8.19
2022-04-25T11:39:38.865;704201976339786925;-0.49;4.76;6.86
2022-04-25T11:39:38.884;704201976359127494;-0.07;3.71;6.37
2022-04-25T11:39:38.904;704201976378468063;0.7;3.43;6.65
2022-04-25T11:39:38.923;704201976397808632;0.91;4.97;5.95
2022-04-25T11:39:38.942;704201976417149201;1.61;6.58;4.83
