Phone timestamp;sensor timestamp [ns];X [G];Y [G];Z [G]
2022-04-25T11:39:38.385;704201974990461989;-1.2495;-0.4125;0.2475
2022-04-25T11:39:38.405;704201975010686474;-1.245;-0.4095;0.2505
2022-04-25T11:39:38.425;704201975030910959;-1.245;-0.405;0.2535
2022-04-25T11:39:38.445;704201975051135444;-1.248;-0.411;0.2505
2022-04-25T11:39:38.465;704201975071359929;-1.2375;-0.4095;0.2535
2022-04-25T11:39:38.486;704201975091584414;-1.224;-0.3915;0.2505
2022-04-25T11:39:38.506;704201975111808899;-1.2345;-0.3915;0.249
2022-04-25T11:39:38.526;704201975132033384;-1.248;-0.4035;0.2505
2022-04-25T11:39:38.546;704201975152257869;-1.2495;-0.4005;0.2505
2022-04-25T11:39:38.567;704201975172482354;-1.2525;-0.4035;0.249
2022-04-25T11:39:38.587;704201975192706839;-1.248;-0.4035;0.2445
2022-04-25T11:39:38.607;704201975212931324;-1.245;-0.405;0.2475
2022-04-25T11:39:38.627;704201975233155809;-1.2495;-0.408;0.252
2022-04-25T11:39:38.647;704201975253380294;-1.2495;-0.4065;0.249
2022-04-25T11:39:38.668;704201975273604779;-1.2465;-0.4065;0.2505
2022-04-25T11:39:38.688;704201975293829264;-1.248;-0.411;0.2505
2022-04-25T11:39:38.708;704201975314053749;-1.248;-0.4065;0.2535
2022-04-25T11:39:38.728;704201975334278234;-1.245;-0.4035;0.2565
2022-04-25T11:39:38.749;704201975354502719;-1.248;-0.4095;0.252
2022-04-25T11:39:38.769;704201975374727204;-1.2525;-0.411;0.2475
2022-04-25T11:39:38.789;704201975394951689;-1.2495;-0.408;0.249
2022-04-25T11:39:38.809;704201975415176174;-1.2495;-0.411;0.2535
2022-04-25T11:39:38.829;704201975435400659;-1.248;-0.411;0.2535
2022-04-25T11:39:38.850;704201975455625144;-1.2465;-0.408;0.2505
2022-04-25T11:39:38.870;704201975475849629;-1.248;-0.405;0.252
2022-04-25T11:39:38.890;704201975496074114;-1.245;-0.405;0.252
2022-04-25T11:39:38.910;704201975516298599;-1.248;-0.405;0.249
2022-04-25T11:39:38.931;704201975536523084;-1.248;-0.411;0.246
2022-04-25T11:39:38.951;704201975556747569;-1.251;-0.4125;0.2385
2022-04-25T11:39:38.971;704201975576972054;-1.2585;-0.4125;0.2325
2022-04-25T11:39:38.991;704201975597196539;-1.257;-0.417;0.2295
2022-04-25T11:39:39.011;704201975617421024;-1.2555;-0.41550002;0.2265
2022-04-25T11:39:39.032;704201975637645509;-1.2540001;-0.4125;0.22500001
2022-04-25T11:39:39.052;704201975657869994;-1.251;-0.41550002;0.2265
2022-04-25T11:39:39.072;704201975678094479;-1.2525;-0.4215;0.2205
2022-04-25T11:39:39.092;704201975698318964;-1.257;-0.4215;0.2175
2022-04-25T11:39:39.113;704201975718543449;-1.2555;-0.417;0.213
2022-04-25T11:39:39.133;704201975738767934;-1.2525;-0.4185;0.2085
2022-04-25T11:39:39.153;704201975758992419;-1.2555;-0.42000002;0.21000001
2022-04-25T11:39:39.173;704201975779216904;-1.26;-0.417;0.207
2022-04-25T11:39:39.193;704201975799441389;-1.2525;-0.41550002;0.2085
2022-04-25T11:39:39.214;704201975819665874;-1.245;-0.41550002;0.213
2022-04-25T11:39:39.234;704201975839890359;-1.248;-0.4125;0.21000001
2022-04-25T11:39:39.254;704201975860114844;-1.2555;-0.41550002;0.204
2022-04-25T11:39:39.274;704201975880339329;-1.2525;-0.414;0.204
2022-04-25T11:39:39.295;704201975900563814;-1.248;-0.4125;0.2085
2022-04-25T11:39:39.315;704201975920788299;-1.2360001;-0.4125;0.207
2022-04-25T11:39:39.335;704201975941012784;-1.227;-0.408;0.201
2022-04-25T11:39:39.355;704201975961237269;-1.2435;-0.414;0.2055
2022-04-25T11:39:39.375;704201975981461754;-1.2540001;-0.4125;0.207
2022-04-25T11:39:39.396;704201976001686239;-1.2525;-0.4125;0.207
2022-04-25T11:39:39.416;704201976021910724;-1.2435;-0.41550002;0.2115
2022-04-25T11:39:39.436;704201976042135209;-1.245;-0.4185;0.2115
2022-04-25T11:39:39.456;704201976062359694;-1.257;-0.423;0.2115
2022-04-25T11:39:39.477;704201976082584179;-1.2555;-0.4185;0.2115
2022-04-25T11:39:39.497;704201976102808664;-1.2555;-0.4125;0.2115
2022-04-25T11:39:39.517;704201976123033149;-1.257;-0.41550002;0.213
2022-04-25T11:39:39.537;704201976143257634;-1.2465;-0.42000002;0.2115
2022-04-25T11:39:39.558;704201976163482119;-1.242;-0.417;0.213
2022-04-25T11:39:39.578;704201976183706604;-1.251;-0.4185;0.2175
2022-04-25T11:39:39.598;704201976203931089;-1.2540001;-0.4185;0.2205
2022-04-25T11:39:39.618;704201976224155574;-1.251;-0.411;0.222
2022-04-25T11:39:39.638;704201976244380059;-1.239;-0.4095;0.2235
2022-04-25T11:39:39.659;704201976264604544;-1.2405;-0.4095;0.219
2022-04-25T11:39:39.679;704201976284829029;-1.2540001;-0.4125;0.2145
2022-04-25T11:39:39.699;704201976305053514;-1.2540001;-0.411;0.222
2022-04-25T11:39:39.719;704201976325277999;-1.251;-0.4065;0.2265
2022-04-25T11:39:39.740;704201976345502484;-1.2465;-0.4065;0.2235
2022-04-25T11:39:39.760;704201976365726969;-1.248;-0.402;0.222
2022-04-25T11:39:39.780;704201976385951454;-1.2495;-0.39000002;0.22500001
2022-04-25T11:39:39.800;704201976406175939;-1.248;-0.396;0.228
2022-04-25T11:39:39.820;704201976426400424;-1.251;-0.408;0.22500001
2022-04-25T11:39:39.841;704201976446624909;-1.248;-0.4065;0.222
2022-04-25T11:39:39.861;704201976466849394;-1.248;-0.4095;0.22500001
2022-04-25T11:39:39.881;704201976487073879;-1.251;-0.408;0.2325
2022-04-25T11:39:39.901;704201976507298364;-1.248;-0.4065;0.2325
2022-04-25T11:39:39.922;704201976527522849;-1.248;-0.405;0.237
2022-04-25T11:39:39.942;704201976547747334;-1.242;-0.405;0.237
2022-04-25T11:39:39.962;704201976567971819;-1.239;-0.408;0.237
2022-04-25T11:39:39.982;704201976588196304;-1.2435;-0.3975;0.237
2022-04-25T11:39:40.002;704201976608420789;-1.2435;-0.396;0.237
2022-04-25T11:39:40.023;704201976628645274;-1.245;-0.4005;0.2385
2022-04-25T11:39:40.043;704201976648869759;-1.2360001;-0.402;0.2415
2022-04-25T11:39:40.063;704201976669094244;-1.233;-0.399;0.24000001
2022-04-25T11:39:40.083;704201976689318729;-1.2360001;-0.393;0.2415
2022-04-25T11:39:40.104;704201976709543214;-1.2375;-0.39450002;0.2415
2022-04-25T11:39:40.124;704201976729767699;-1.248;-0.396;0.237
2022-04-25T11:39:40.144;704201976749992184;-1.2465;-0.3915;0.243
2022-04-25T11:39:40.164;704201976770216669;-1.2435;-0.3885;0.246
2022-04-25T11:39:40.184;704201976790441154;-1.248;-0.3885;0.2445
2022-04-25T11:39:40.205;704201976810665639;-1.2435;-0.381;0.2475
2022-04-25T11:39:40.225;704201976830890124;-1.2405;-0.3825;0.246
2022-04-25T11:39:40.245;704201976851114609;-1.2435;-0.39450002;0.243
2022-04-25T11:39:40.265;704201976871339094;-1.2465;-0.3975;0.243
2022-04-25T11:39:40.286;704201976891563579;-1.248;-0.39000002;0.2445
2022-04-25T11:39:40.306;704201976911788064;-1.242;-0.387;0.246
2022-04-25T11:39:40.326;704201976932012549;-1.2375;-0.3915;0.2475
2022-04-25T11:39:40.346;704201976952237034;-1.242;-0.399;0.2445
2022-04-25T11:39:40.366;704201976972461519;-1.2435;-0.396;0.2445
2022-04-25T11:39:40.387;704201976992686004;-1.2465;-0.387;0.249
2022-04-25T11:39:40.407;704201977012910489;-1.248;-0.387;0.249
2022-04-25T11:39:40.427;704201977033134974;-1.245;-0.393;0.252
2022-04-25T11:39:40.447;704201977053359459;-1.2405;-0.39450002;0.2505
2022-04-25T11:39:40.468;704201977073583944;-1.239;-0.396;0.2445
2022-04-25T11:39:40.488;704201977093808429;-1.2465;-0.39000002;0.246
2022-04-25T11:39:40.508;704201977114032914;-1.248;-0.384;0.2475
2022-04-25T11:39:40.528;704201977134257399;-1.245;-0.39000002;0.246
2022-04-25T11:39:40.549;704201977154481884;-1.242;-0.3915;0.249
2022-04-25T11:39:40.569;704201977174706410;-1.227;-0.3735;0.2475
2022-04-25T11:39:40.589;704201977194930895;-1.2315;-0.3735;0.2445
2022-04-25T11:39:40.609;704201977215155380;-1.248;-0.3915;0.2445
2022-04-25T11:39:40.629;704201977235379865;-1.2465;-0.3915;0.246
2022-04-25T11:39:40.650;704201977255604350;-1.245;-0.393;0.249
2022-04-25T11:39:40.670;704201977275828835;-1.2465;-0.3915;0.2475
2022-04-25T11:39:40.690;704201977296053320;-1.2495;-0.39000002;0.2445
2022-04-25T11:39:40.710;704201977316277805;-1.2495;-0.387;0.2445
2022-04-25T11:39:40.731;704201977336502290;-1.2495;-0.3825;0.249
2022-04-25T11:39:40.751;704201977356726775;-1.2465;-0.3825;0.246
2022-04-25T11:39:40.771;704201977376951260;-1.2495;-0.3885;0.2445
2022-04-25T11:39:40.791;704201977397175745;-1.251;-0.39000002;0.2445
2022-04-25T11:39:40.811;704201977417400230;-1.245;-0.3885;0.2445
2022-04-25T11:39:40.832;704201977437624715;-1.2435;-0.39450002;0.246
2022-04-25T11:39:40.852;704201977457849200;-1.242;-0.393;0.246
2022-04-25T11:39:40.872;704201977478073685;-1.2435;-0.384;0.246
2022-04-25T11:39:40.892;704201977498298170;-1.248;-0.387;0.249
2022-04-25T11:39:40.913;704201977518522655;-1.245;-0.387;0.249
2022-04-25T11:39:40.933;704201977538747140;-1.245;-0.39000002;0.2445
2022-04-25T11:39:40.953;704201977558971625;-1.2465;-0.39000002;0.243
2022-04-25T11:39:40.973;704201977579196110;-1.2465;-0.3915;0.246
2022-04-25T11:39:40.993;704201977599420595;-1.2495;-0.3885;0.246
2022-04-25T11:39:41.014;704201977619645080;-1.2495;-0.372;0.249
2022-04-25T11:39:41.034;704201977639869565;-1.248;-0.375;0.249
2022-04-25T11:39:41.054;704201977660094050;-1.248;-0.393;0.2475
2022-04-25T11:39:41.074;704201977680318535;-1.248;-0.396;0.249
2022-04-25T11:39:41.095;704201977700543020;-1.248;-0.3915;0.252
2022-04-25T11:39:41.115;704201977720767505;-1.2465;-0.3915;0.2475
2022-04-25T11:39:41.135;704201977740991990;-1.2345;-0.393;0.2445
2022-04-25T11:39:41.155;704201977761216475;-1.2360001;-0.3915;0.243
2022-04-25T11:39:41.175;704201977781440960;-1.245;-0.393;0.2415
2022-04-25T11:39:41.196;704201977801665445;-1.2435;-0.393;0.2415
2022-04-25T11:39:41.216;704201977821889930;-1.248;-0.3915;0.246
2022-04-25T11:39:41.236;704201977842114415;-1.2525;-0.39000002;0.243
2022-04-25T11:39:41.256;704201977862338900;-1.2540001;-0.39000002;0.246
2022-04-25T11:39:41.277;704201977882563385;-1.2495;-0.3915;0.246
2022-04-25T11:39:41.297;704201977902787870;-1.2465;-0.3915;0.246
2022-04-25T11:39:41.317;704201977923012355;-1.2465;-0.396;0.246
2022-04-25T11:39:41.337;704201977943236840;-1.2435;-0.39000002;0.2445
2022-04-25T11:39:41.357;704201977963461325;-1.242;-0.39000002;0.243
2022-04-25T11:39:41.378;704201977983685810;-1.242;-0.39450002;0.246
2022-04-25T11:39:41.398;704201978003910295;-1.2375;-0.384;0.249
2022-04-25T11:39:41.418;704201978024134780;-1.2345;-0.381;0.2475
2022-04-25T11:39:41.438;704201978044359265;-1.248;-0.39450002;0.246
2022-04-25T11:39:41.459;704201978064583750;-1.2435;-0.39450002;0.246
2022-04-25T11:39:41.479;704201978084808235;-1.242;-0.393;0.243
2022-04-25T11:39:41.499;704201978105032720;-1.2435;-0.39450002;0.2445
2022-04-25T11:39:41.519;704201978125257205;-1.2495;-0.3975;0.2475
2022-04-25T11:39:41.540;704201978145481690;-1.257;-0.4005;0.2475
2022-04-25T11:39:41.560;704201978165706175;-1.2525;-0.399;0.246
2022-04-25T11:39:41.580;704201978185930660;-1.245;-0.399;0.243
2022-04-25T11:39:41.600;704201978206155145;-1.245;-0.3975;0.243
2022-04-25T11:39:41.620;704201978226379630;-1.245;-0.39000002;0.2445
2022-04-25T11:39:41.641;704201978246604115;-1.2405;-0.3915;0.2475
2022-04-25T11:39:41.661;704201978266828600;-1.2435;-0.39450002;0.246
2022-04-25T11:39:41.681;704201978287053085;-1.2495;-0.393;0.2445
2022-04-25T11:39:41.701;704201978307277570;-1.248;-0.3915;0.2475
2022-04-25T11:39:41.722;704201978327502055;-1.248;-0.393;0.249
2022-04-25T11:39:41.742;704201978347726540;-1.251;-0.396;0.2505
2022-04-25T11:39:41.762;704201978367951025;-1.248;-0.4005;0.2475
2022-04-25T11:39:41.782;704201978388175510;-1.245;-0.4005;0.2445
2022-04-25T11:39:41.802;704201978408399995;-1.2435;-0.39450002;0.246
2022-04-25T11:39:41.823;704201978428624480;-1.2465;-0.393;0.2475
2022-04-25T11:39:41.843;704201978448848965;-1.2465;-0.393;0.2505
2022-04-25T11:39:41.863;704201978469073450;-1.242;-0.393;0.2475
2022-04-25T11:39:41.883;704201978489297935;-1.245;-0.393;0.2505
2022-04-25T11:39:41.904;704201978509522420;-1.2435;-0.39000002;0.2565
2022-04-25T11:39:41.924;704201978529746905;-1.242;-0.3885;0.249
2022-04-25T11:39:41.944;704201978549971390;-1.242;-0.387;0.2415
2022-04-25T11:39:41.964;704201978570195875;-1.2435;-0.3915;0.2505
2022-04-25T11:39:41.984;704201978590420360;-1.2435;-0.393;0.2535
2022-04-25T11:39:42.005;704201978610644845;-1.2375;-0.3825;0.246
2022-04-25T11:39:42.025;704201978630869330;-1.2375;-0.387;0.243
2022-04-25T11:39:42.045;704201978651093815;-1.242;-0.396;0.2415
2022-04-25T11:39:42.065;704201978671318300;-1.233;-0.399;0.2445
2022-04-25T11:39:42.086;704201978691542785;-1.2360001;-0.3975;0.246
2022-04-25T11:39:42.106;704201978711767270;-1.248;-0.396;0.243
2022-04-25T11:39:42.126;704201978731991755;-1.245;-0.378;0.243
2022-04-25T11:39:42.146;704201978752216240;-1.245;-0.375;0.243
2022-04-25T11:39:42.166;704201978772440725;-1.2495;-0.393;0.243
2022-04-25T11:39:42.187;704201978792665210;-1.2465;-0.3915;0.249
2022-04-25T11:39:42.207;704201978812889695;-1.2405;-0.39450002;0.252
