Phone timestamp;PP-interval [ms];error estimate [ms];blocker;contact;contact;hr [bpm]
2022-04-25T11:39:41.224;1117;882;1;1;1;0
2022-04-25T11:39:42.341;1135;866;1;1;1;0
2022-04-25T11:39:43.476;1295;705;1;1;1;0
2022-04-25T11:39:44.771;1839;19;1;1;1;0
2022-04-25T11:39:46.279;1165;21;1;1;1;0
2022-04-25T11:39:47.444;1285;29;1;1;1;0
2022-04-25T11:39:48.729;1284;33;1;1;1;0
2022-04-25T11:39:50.013;1223;29;1;1;1;0
2022-04-25T11:39:51.409;1030;24;1;1;1;0
2022-04-25T11:39:52.439;1257;19;1;1;1;0
2022-04-25T11:39:53.696;1278;20;0;1;1;0
2022-04-25T11:39:54.974;1182;20;0;1;1;0
2022-04-25T11:39:56.272;1260;16;0;1;1;0
2022-04-25T11:39:57.532;1252;12;1;1;1;0
2022-04-25T11:39:58.784;1284;14;1;1;1;0
2022-04-25T11:40:00.068;1761;28;1;1;1;0
2022-04-25T11:40:01.309;1263;26;1;1;1;0
2022-04-25T11:40:02.572;1146;28;1;1;1;0
2022-04-25T11:40:03.718;1080;28;0;1;1;0
2022-04-25T11:40:04.798;1214;22;0;1;1;0
2022-04-25T11:40:06.435;1234;18;0;1;1;51
2022-04-25T11:40:07.669;1163;14;0;1;1;51
2022-04-25T11:40:08.832;1188;13;0;1;1;51
2022-04-25T11:40:10.020;1188;14;0;1;1;51
2022-04-25T11:40:11.414;1148;11;0;1;1;0
2022-04-25T11:40:12.562;1162;9;0;1;1;0
2022-04-25T11:40:13.724;1131;9;0;1;1;0
2022-04-25T11:40:14.855;1149;10;1;1;1;0
2022-04-25T11:40:16.425;1197;9;1;1;1;0
2022-04-25T11:40:17.622;1210;8;1;1;1;0
2022-04-25T11:40:18.832;1212;8;0;1;1;0
2022-04-25T11:40:20.044;1182;8;0;1;1;0
2022-04-25T11:40:21.226;1154;7;0;1;1;0
2022-04-25T11:40:21.502;1118;6;0;1;1;55
2022-04-25T11:40:22.620;1045;6;0;1;1;55
2022-04-25T11:40:23.665;945;7;0;1;1;55
2022-04-25T11:40:24.610;1100;6;0;1;1;55
2022-04-25T11:40:26.084;1204;6;0;1;1;53
